,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1821,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1822,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1823,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1824,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(2, 1, 2)"
1825,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1826,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1827,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1828,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(2, 1, 2)"
1829,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(1, 1, 0)"
1830,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(2, 1, 2)"
1831,"(0, 1, 0)","(2, 1, 2)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(1, 1, 0)"
1832,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(1, 1, 0)"
1833,"(0, 1, 0)","(2, 1, 2)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)"
