,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1280,"(0, 1, 0)","(3, 0, 1)","(0, 1, 0)","(1, 0, 2)","(3, 0, 3)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)","(1, 1, 1)","(1, 1, 1)"
1281,"(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 1, 0)"
1282,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(4, 0, 2)","(1, 0, 0)","(0, 1, 0)","(1, 0, 1)","(0, 1, 1)","(1, 0, 0)"
1283,"(0, 1, 0)","(3, 0, 2)","(0, 1, 0)","(1, 1, 1)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 1, 0)"
1284,"(0, 1, 0)","(0, 1, 0)","(2, 0, 1)","(3, 0, 1)","(4, 0, 2)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1285,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(3, 0, 1)","(3, 0, 3)","(1, 0, 0)","(1, 0, 2)","(0, 1, 1)","(1, 0, 0)"
1286,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 1, 0)","(3, 0, 1)"
1287,"(0, 1, 0)","(5, 2, 2)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 3)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 1)"
1288,"(0, 1, 0)","(1, 0, 0)","(1, 0, 1)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)"
1289,"(1, 1, 2)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)","(2, 1, 1)","(1, 0, 0)"
1290,"(1, 1, 2)","(1, 1, 1)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)"
1291,"(1, 1, 2)","(2, 0, 2)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(2, 0, 3)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)"
1292,"(0, 1, 0)","(2, 1, 1)","(0, 1, 0)","(1, 0, 0)","(2, 0, 3)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)"
1293,"(2, 1, 1)","(2, 1, 2)","(2, 0, 4)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)","(1, 0, 2)","(2, 0, 1)","(1, 0, 0)","(2, 0, 2)"
1294,"(2, 1, 1)","(2, 1, 2)","(2, 0, 3)","(1, 0, 0)","(3, 0, 2)","(2, 0, 3)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1295,"(2, 1, 1)","(0, 1, 0)","(4, 0, 3)","(1, 0, 0)","(3, 0, 2)","(1, 0, 0)","(2, 0, 3)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1296,"(2, 1, 1)","(1, 0, 2)","(1, 0, 0)","(2, 1, 2)","(0, 1, 0)","(2, 0, 2)","(2, 0, 0)","(2, 0, 1)","(1, 0, 0)","(2, 0, 2)"
1297,"(2, 1, 1)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 1)","(3, 0, 2)","(1, 0, 1)","(2, 0, 2)"
1298,"(0, 1, 0)","(1, 0, 0)","(2, 0, 3)","(0, 1, 0)","(3, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)"
1299,"(0, 1, 0)","(0, 1, 0)","(2, 1, 1)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)"
1300,"(0, 1, 0)","(2, 0, 1)","(0, 1, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)","(0, 1, 1)"
1301,"(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(3, 0, 2)","(2, 1, 4)","(0, 1, 0)","(1, 0, 0)","(1, 1, 1)","(1, 1, 1)","(2, 0, 2)"
1302,"(0, 1, 0)","(1, 1, 3)","(0, 1, 3)","(1, 0, 0)","(1, 0, 0)","(3, 0, 3)","(1, 0, 0)","(2, 1, 1)","(1, 0, 0)","(3, 1, 1)"
